Marker,Time,X,Y,Z
10.0,9.5367431640625e-07,3.911486667563163,-5.600051950281688,14.367750558607232
10.0,4.0531158447265625e-06,3.7269541974429368,-6.21159032907156,14.398021647513728
10.0,1.1920928955078125e-06,4.015436571662436,-5.8782679708872765,13.913264940277067
10.0,1.1920928955078125e-06,4.194142048097601,-6.334010439984132,14.38417899624613
10.0,9.5367431640625e-07,4.477826987443586,-6.411911883428608,14.131417290847883
10.0,1.1920928955078125e-06,5.019952009326946,-6.44510787638163,14.298338596806943
10.0,7.152557373046875e-07,5.311661236371495,-6.200465108593019,14.225078201588376
10.0,1.1920928955078125e-06,5.76710164610596,-6.148748078568854,14.252357810205948
10.0,1.1920928955078125e-06,6.097470853549067,-6.076372338484884,14.182405721253593
10.0,9.5367431640625e-07,6.446441475218201,-5.70910339798736,14.161088362589823
10.0,9.5367431640625e-07,7.094844530442677,-5.305709822765828,13.823620515177437
10.0,7.152557373046875e-07,7.265771578988513,-5.371258072719303,13.99440145930349
10.0,4.0531158447265625e-06,7.461412114093308,-5.507727605110659,13.97090676227935
10.0,0.0,7.677145604949457,-5.477747134342316,13.94749031226591
10.0,0.0,7.893956478391332,-5.503097597207534,13.854599266762989
10.0,0.0,8.28013979478394,-5.342025674054154,13.811175309350862
10.0,9.5367431640625e-07,8.56621251974073,-5.029327636888352,13.742724384295219
10.0,9.5367431640625e-07,8.856827649987965,-4.550296774305743,13.65493758197232
10.0,9.5367431640625e-07,9.03803753013437,-4.569794256809512,13.652498716524626
